55,Indian Institute Of Science,Research Assistance (CATIA & Vehicle Dynamics),Bangalore,6 Months,"25,000 /month",17 Aug' 22
56,Urban Company,Business Development (Sales),Vishakhapatnam,2 Months,"15,000 /month",18 Aug' 22
57,Justdial Limited,Operations,Mumbai,2 Months,"2,000 /month +  Incentives",17 Aug' 22
58,IIT Bombay,Content Writing,Work From Home,6 Months,"1,000-2,000 /month",17 Aug' 22
59,Disney Star,Graphic Design,Mumbai,6 Months,"10,000-15,000 /month",18 Aug' 22
60,PR Pundit,Human Resources (HR),Gurgaon,2 Months,"5,000 /month",18 Aug' 22
61,IIT Bombay,Copywriting,Work From Home,6 Months,"1,000-2,000 /month",17 Aug' 22
62,Decathlon Sports India,Business Development (Sales),Greater Noida,2 Months,"10,000 /month",17 Aug' 22
63,Monster India,Human Resources (HR),Bangalore,3 Months,"12,000 /month",17 Aug' 22
64,Justdial Limited,Human Resources (HR),Hyderabad,3 Months,"5,000 /month",17 Aug' 22
65,Urban Company,Business Development (Sales),Bangalore,2 Months,"16,000 /month",17 Aug' 22
66,Bombay Shaving Company,Content & E-Commerce Management,Work From Home,3 Months,"7,000 /month",17 Aug' 22
67,Decathlon Sport India Private Limited,Retail Management,Hyderabad,2 Months,"10,000 /month",18 Aug' 22
68,Lenskart,Photography/Videography,Gurgaon,3 Months,"15,000 /month",19 Aug' 22
69,Decathlon Sport India,Business Development (Sales),Pune,3 Months,"10,000 /month",17 Aug' 22
70,Urban Company,Business Development (Sales),Hyderabad,1 Month,"18,000 /month",17 Aug' 22
71,Teach For India,Teaching,Delhi,2 Months,Unpaid,15 Aug' 22
72,Monster India,Strategic Alliances,Bangalore,2 Months,"12,000 /month",16 Aug' 22
73,Economic Times,Content Writing,Noida,6 Months,"7,000 /month",16 Aug' 22
74,Monster India,Marketing,Noida,2 Months,"12,000 /month",16 Aug' 22
75,BYJU'S The Learning App,Marketing,Lucknow,3 Months,"18,000 /month",15 Aug' 22
76,Archies Lifestyle,Graphic Design,Delhi,3 Months,"15,000 /month",16 Aug' 22
77,Decathlon,Marketing,Thane,3 Months,"12,000 /month",16 Aug' 22
78,MensXP,Social Media Marketing,Gurgaon,3 Months,"7,000 /month",15 Aug' 22
79,Cultfit Healthcare Private Limited,Event Management,Bangalore,3 Months,"10,000 /month",15 Aug' 22
80,Bajaj Allianz Life Insurance Company,Business Development (Sales),Bangalore,2 Months,"10,000 /month +  Incentives",16 Aug' 22
81,Bagzone Lifestyles Private Limited,Product Merchandise,Mumbai,6 Months,"10,000 /month",15 Aug' 22
82,Monster India,Growth,Bangalore,2 Months,"12,000 /month",15 Aug' 22
83,BookMyShow,Events & Operations,Mumbai,6 Months,"7,500 /month",14 Aug' 22
84,WWF-India,Donor Relations & Donor Services,Delhi,3 Months,"10,000 /month",14 Aug' 22
85,Livpure Smart Home,Social Media Marketing,Pune,6 Months,"5,000 /month",13 Aug' 22
86,Livpure Smart Home,Graphic Design,Pune,6 Months,"5,000 /month",13 Aug' 22
87,Nykaa Fashion,Marketing,Bangalore,3 Months,"3,500 /month",13 Aug' 22
88,Justdial Limited,Human Resources (HR),Chennai,3 Months,"5,000 /month",13 Aug' 22
89,BYJU'S The Learning App,Marketing,Bangalore,3 Months,"20,000 /month",14 Aug' 22
90,Urban Company,Business Development (Sales),Bhubaneswar,3 Months,"10,000-15,000 /month",12 Aug' 22
91,Pepperfry,Business Development (Sales),Thane,6 Months,"15,000 /month +  Incentives",12 Aug' 22
92,Indian Institute Of Science,Research Assistance (Truck Driving Simulation using ETS2),Bangalore,6 Months,"25,000 /month",12 Aug' 22
93,UpGrad (UpGrad Education Private Limited),Data Entry,Bangalore,3 Months,"5,000 /month",12 Aug' 22
94,World Wide Fund For Nature-India,Donor Profiling,Bangalore,3 Months,"5,000 /month",12 Aug' 22
95,Urban Company,Data Analytics,Bangalore,3 Months,"20,000-25,000 /month",11 Aug' 22
96,PR Pundit,Media & Public Relations (PR),Mumbai,3 Months,"5,000 /month",11 Aug' 22
97,World Wide Fund For Nature-India,Donor Profiling,Delhi,3 Months,"5,000 /month",11 Aug' 22
98,Decathlon Sport India Private Limited,Business Development (Sales),Gurgaon,2 Months,"10,000 /month",11 Aug' 22
99,Urban Company,Business Development (Sales),Bangalore,3 Months,"20,000 /month",11 Aug' 22
100,Urban Company,Business Development (Sales),Patna,2 Months,"15,000 /month",12 Aug' 22
101,Urban Company,Business Development (Sales),Guwahati,2 Months,"15,000 /month",12 Aug' 22
102,Urban Company,Business Development (Sales),Kochi,3 Months,"10,000-18,000 /month",12 Aug' 22
103,Decathlon Sport India Private Limited,Business Development (Sales),Delhi,3 Months,"10,000 /month",10 Aug' 22
104,BYJU'S The Learning App,Marketing,Chennai,3 Months,"25,000 /month",11 Aug' 22
105,BYJU'S The Learning App,Marketing,Kadapa,4 Months,"20,000 /month",11 Aug' 22
106,Toppr,Business Development (Sales),Mumbai,6 Months,"25,000 /month",11 Aug' 22
107,Think & Learn Private Limited (BYJU'S),Marketing,Guwahati,4 Months,"18,000 /month",10 Aug' 22
108,IISC Bangalore CPDM,Mechanical Engineering,Bangalore,6 Months,"4,000 /month",11 Aug' 22
109,Pantaloons Fashion & Retail Limited,Human Resources (HR),Bangalore,6 Months,"15,000 /month",17 Aug' 22
110,WWF-India,Business Development,Delhi,3 Months,"20,000 /month",10 Aug' 22
111,Bewakoof,Fashion Design/Graphic Design,Bangalore,3 Months,"8,000 /month",10 Aug' 22
112,WWF-India,Marketing,Mumbai,6 Months,"18,000 /month",10 Aug' 22
113,BYJU'S The Learning App,Marketing,Jammu,3 Months,"18,000 /month",11 Aug' 22
114,BYJU'S The Learning App,Marketing,Srinagar,3 Months,"20,000-22,000 /month",11 Aug' 22
115,Urban Company,Business Development (Sales),Pune,3 Months,"18,000-20,000 /month",10 Aug' 22
116,FirstCry.com,QA Engineering,Dehradun,6 Months,"10,000 /month",10 Aug' 22
117,Eureka Forbes,Marketing,Pune,2 Months,"5,000-8,000 /month",11 Aug' 22
118,Fabindia Overseas Private Limited,Human Resources (HR),Mumbai,3 Months,"10,000 /month",11 Aug' 22
119,Teach For India,Teaching,Mumbai,1 Month,Unpaid,10 Aug' 22
120,Monster India,Content Writing,Bangalore,3 Months,"12,000 /month",11 Aug' 22
121,Monster India,Marketing,Bangalore,3 Months,"10,000-12,000 /month",10 Aug' 22
122,BYJU'S The Learning App,Marketing,Nalgonda,3 Months,"20,000 /month",10 Aug' 22
123,CRY - Child Rights And YOU,Social Work,Pune,6 Months,Unpaid,10 Aug' 22
124,Teach For India,Online Research Volunteering,Work From Home,6 Weeks,Unpaid,10 Aug' 22
125,Titan Company Limited,Ecommerce,Bangalore,3 Months,"10,000 /month",9 Aug' 22
126,Rapido - India's Largest Bike Taxi,Marketing,Hyderabad,6 Months,"15,000 /month",10 Aug' 22
127,Monster India,Digital Marketing,Bangalore,3 Months,"10,000-14,000 /month",10 Aug' 22
128,Delhivery Private Limited,Operations,Chhapra,3 Months,"10,000 /month",8 Aug' 22
129,Delhivery Private Limited,Operations,Thane,3 Months,"12,000 /month",8 Aug' 22
130,BYJU'S The Learning App,Marketing,Kolkata,3 Months,"21,000 /month",8 Aug' 22
131,Delhivery Private Limited,Operations,Gurgaon,3 Months,"10,000 /month",8 Aug' 22
132,Bombay Shaving Company,Business Development (Sales),Gurgaon,6 Months,"5,000 /month",8 Aug' 22
133,BYJU'S The Learning App,Marketing,Kolkata,3 Months,"20,000 /month",9 Aug' 22
134,BYJU'S - The Learning App,Marketing,Bokaro Steel City,2 Months,"20,000 /month",9 Aug' 22
135,Mahindra First Choice Wheels Limited,ORM/Online PR Management,Bangalore,3 Months,"8,000 /month",8 Aug' 22
136,Decathlon,Omni Sport Leading,Mumbai,6 Months,"20,000 /month",8 Aug' 22
137,BYJU'S - The Learning App,Marketing,Hyderabad,3 Months,"20,000 /month",9 Aug' 22
138,Mahindra First Choice Wheels Limited,Content Writing,Bangalore,3 Months,"7,500 /month",9 Aug' 22
139,BYJU'S The Learning App,Marketing,Hyderabad,3 Months,"20,000 /month",9 Aug' 22
140,Delhivery Private Limited,Operations,Hyderabad,3 Months,"10,000 /month",8 Aug' 22
141,Pepperfry,Business Development (Sales),Bangalore,3 Months,"15,000 /month",9 Aug' 22
142,CRY - Child Rights And YOU,Awareness Training (Social Work),Mumbai,1 Month,Unpaid,8 Aug' 22
143,Indian Institute Of Science,Research Assistance (Signal Processing And Assistive Device Design),Bangalore,6 Months,"25,000 /month",8 Aug' 22
144,HT Media,Human Resources (HR),Delhi,6 Months,"3,000-10,000 /month",8 Aug' 22
145,Urban Company,Operations,Aurangabad,6 Months,"18,000-22,000 /month",8 Aug' 22
146,BookMyShow,Product Design,Mumbai,6 Months,"15,000 /month",8 Aug' 22
147,Times Of India,Marketing,Mumbai,6 Months,"15,000 /month",8 Aug' 22
148,Delhivery Private Limited,Business Development (Sales),Dhanbad,3 Months,"10,000 /month",8 Aug' 22
149,Teach For India,Teaching,Delhi,3 Months,Unpaid,8 Aug' 22
150,WWF-India,Business Development (Fundraising),Delhi,3 Months,"20,000 /month",10 Aug' 22
151,Delhivery Private Limited,Operations,Bhagalpur,3 Months,"10,000 /month",7 Aug' 22
152,Delhivery Private Limited,Logistic Sector,Bhubaneswar,3 Months,"10,000 /month",7 Aug' 22
153,Pepperfry,Online Catalog Management,Mumbai,2 Months,"3,000-5,000 /month",7 Aug' 22
154,AAP Pune,Fundraising,Pune,2 Months,Unpaid,7 Aug' 22
155,Bewakoof,Human Resources (HR),Bangalore,3 Months,"10,000 /month",7 Aug' 22
156,RedBus,KIOSK Promotion,Delhi,6 Months,"25,000 /month",8 Aug' 22
157,MobiKwik,Business Development (Sales),Delhi,3 Months,"15,000 /month",11 Aug' 22
158,IIT Bombay,Content Marketing,Work From Home,6 Months,"1,000-2,000 /month",26 Aug' 22
159,LBB (Little Black Book),Visual Merchandising,Delhi,3 Months,"3,000-5,000 /month",9 Aug' 22
160,LBB (Little Black Book),Visual Merchandising,Delhi,3 Months,"3,000-5,000 /month",9 Aug' 22
161,Teach For India,Human Resources (HR),Chennai,6 Months,"4,000 /month",10 Aug' 22
162,SBI Funds Management Limited,Operations,Kota,3 Months,"2,000 /month",23 Aug' 22
163,SBI Funds Management Limited,Digital Marketing,Kota,2 Months,"2,000 /month",23 Aug' 22
164,Ananta Resource Management,Human Resources (HR),Work From Home,3 Months,"3,000-8,000 lump sum",21 Aug' 22
165,Urban Hippie,Social Media Marketing,Gurgaon,6 Months,"15,000-20,000 /month",21 Aug' 22
166,Turito,Content Development,Work From Home,1 Month,"5,000 /month",21 Aug' 22
167,Cerebration Media,Digital Marketing,Delhi,3 Months,"6,000 /month",21 Aug' 22
168,Jarvis Technology & Strategy Consulting,UI/UX Design,Delhi,3 Months,"20,000 /month",21 Aug' 22
169,Bizgurukul,Process Coordination,Delhi,3 Months,"12,000-15,000 /month",21 Aug' 22
170,Tanish Sharma,Marketing,Delhi,2 Months,"10,000 /month",21 Aug' 22
171,Global Counter Terrorism Council,Social Media Marketing,Delhi,6 Months,"5,000 /month",21 Aug' 22
172,Expertrons,Motion Graphics Design,Mumbai,3 Months,"12,000-15,000 /month",21 Aug' 22
173,Support And Care Humanity Foundation,Human Resources (HR),Work From Home,1 Month,"1,500 /month",21 Aug' 22
174,Tej Logistic Freight Express Private Limited,Digital Marketing,Raipur,2 Months,"2,000 /month +  Incentives",21 Aug' 22
175,CUR8,Social Media Marketing,Gurgaon,3 Months,"10,000-12,000 /month",21 Aug' 22
176,7 Orbitals,Digital Marketing,Navi Mumbai,6 Months,"3,000 /month",21 Aug' 22
177,Material Library,Business Development (Sales),Gurgaon,5 Months,"10,000 /month",21 Aug' 22
178,Mkix (Project Dreamlife),Marketing,Delhi,3 Months,"5,000 /month",21 Aug' 22
179,West Coast Frozen Foods Private Limited,Graphic Design,Mumbai,6 Months,"10,000 /month",21 Aug' 22
180,Able Jobs,Placement Operations,Bangalore,6 Months,"12,000-15,000 /month",21 Aug' 22
181,CogniAble,Python Teaching (Special Needs Children),Gurgaon,6 Months,"20,000 /month",21 Aug' 22
182,Afiv Data Outsourcing,Business Development (Sales),Work From Home,1 Month,"5,000 /month",21 Aug' 22
183,Vegg,Content Writing,Work From Home,3 Months,"4,000-8,000 /month",21 Aug' 22
184,Tutedude,Teaching (DSA With Java),Work From Home,1 Month,"12,000 /month",21 Aug' 22
185,Achilles Racing Club,Graphic Design,Greater Noida,2 Months,"2,000 /month",21 Aug' 22
186,Achilles Racing Club,Business Development (Sales),Greater Noida,2 Months,"2,000 /month",21 Aug' 22
187,EnviPure Solution,Content Writing,Work From Home,2 Months,"2,000 /month",21 Aug' 22
188,Yojak,Human Resources (HR),Gurgaon,3 Months,"10,000-20,000 /month",21 Aug' 22
189,Quizzy,Content Development (Commerce),Work From Home,3 Months,"3,000-5,000 /month",21 Aug' 22
190,Priyadarshini Lokmanya Tilak Institute Of Management Studies And Research,Social Media & Branding,Nagpur,3 Months,"3,000-7,000 /month",21 Aug' 22
191,Quizzy,Content Development (Non-STEM),Work From Home,3 Months,"3,000-5,000 /month",21 Aug' 22
192,Priyadarshini Lokmanya Tilak Institute Of Management Studies And Research,Placement Coordination,Nagpur,3 Months,"3,000-8,000 /month",21 Aug' 22
193,2.Oh! (Seasons & Soul Consumer Products Private Limited),Photography,Mumbai,6 Months,"15,000 /month",21 Aug' 22
194,Gurukool,Child HR (Mentoring),Pune,6 Months,"8,000 /month",21 Aug' 22
195,Primite Marketing,Digital Marketing,Work From Home,1 Month,"1,000 /month +  Incentives",21 Aug' 22
196,Digital Health Startup,Videography & Video Editing (Social Medial Content),Work From Home,1 Month,"2,000 /month +  Incentives",21 Aug' 22
197,Aqua Purifiers,Operations,Work From Home,2 Months,"2,000-4,000 /month",21 Aug' 22
198,Fitness 2020,Operations,Work From Home,6 Months,"5,000 /month",21 Aug' 22
199,Krityanand UNESCO Club Jamshedpur,Public Policy,Work From Home,2 Months,Unpaid,21 Aug' 22
200,"Gandhian Studies Centre, Andhra University",Gandhian Spiritual Intelligence,Visakhapatnam,3 Months,"10,000 /month",21 Aug' 22
201,AH Career Private Limited,YouTube Account Management,Work From Home,3 Months,"1,000 /month",21 Aug' 22
202,1Only Host,Mobile App Development,Work From Home,1 Month,"2,500-7,500 /month",21 Aug' 22
203,Panaka Consumables,Marketing,Work From Home,2 Months,"1,500 /month +  Incentives",21 Aug' 22
204,Ema Special Products & Services Private Limited,General Management,Bangalore,3 Months,"1,000 /week",21 Aug' 22
205,Aptitud,Flutter Development,Work From Home,2 Months,"5,000 /month",21 Aug' 22
206,Turquoise Hibiscus Inc. (SkillAcquire),Relationship Management,Work From Home,2 Months,"10,000 /month",21 Aug' 22
207,Global Drishti,Operations,Work From Home,3 Months,"10,000 /month",21 Aug' 22
208,Shyarga,Content Writing,Work From Home,6 Months,"2,000-6,000 /month",21 Aug' 22
209,Zee Edtech,Video Solution (PCM),Work From Home,1 Month,"10,000-20,000 /month",20 Aug' 22
210,Farmer Near Me,Mobile App Development,Work From Home,1 Month,"1,000 /month",20 Aug' 22
211,Quizzy,Content Writing (PCM),Work From Home,3 Months,"3,000-5,000 /month",20 Aug' 22
212,Kritika Poddar,Power Query (Excel),Work From Home,1 Month,"2,000-4,000 /month",20 Aug' 22
213,365 HR & IT Services OPC Private Limited,Web Development,Work From Home,6 Months,"1,000 /month +  Incentives",20 Aug' 22
214,TechCurators,Business Development,Delhi,6 Months,"2,000-8,000 /month",20 Aug' 22
215,GMN Roadshows & Events,Marketing,Gurgaon,1 Month,"20,000 /month",20 Aug' 22
216,Quizzy,Content Writing (Biology),Work From Home,3 Months,"3,000-5,000 /month",20 Aug' 22
217,Logic Gates,Client Servicing,Mumbai,4 Months,"15,000-25,000 /month",20 Aug' 22
218,ATSC,Engineering (Research/Surface Treatment/Chemical),Ahmedabad,3 Months,"2,000 /month +  Incentives",20 Aug' 22
219,Love Container Homes,Architecture,Work From Home,2 Months,"2,000 /month",20 Aug' 22
220,Coding Spoon,Mern Stack Instructions,Work From Home,3 Months,"20,000-25,000 /month",20 Aug' 22
221,Guidewave Solutions Private Limited,Content Marketing,Work From Home,3 Months,"15,000-20,000 /month",20 Aug' 22
222,Mittal Learning Stars - Ritik Mittal,Teaching (Botany),Work From Home,6 Months,"12,000 /month",20 Aug' 22
223,Webvision Solution,Social Media Marketing,Work From Home,3 Months,"2,000 /month +  Incentives",20 Aug' 22
224,Mittal Learning Stars - Ritik Mittal,Teaching (Mathematics),Work From Home,6 Months,"12,000 /month",20 Aug' 22
225,Writers Qi,Content Writing,Work From Home,4 Months,"3,500 /month",20 Aug' 22
226,Mittal Learning Stars - Ritik Mittal,Teaching (Chemistry),Work From Home,6 Months,"12,000 /month",20 Aug' 22
227,Advetaya Business Consultants Private Limited (aagey.com),Database Administration,Bangalore,6 Months,"5,000 /month",20 Aug' 22
228,Mittal Learning Stars - Ritik Mittal,Teaching (Physics),Work From Home,6 Months,"12,000 /month",20 Aug' 22
229,Mittal Learning Stars - Ritik Mittal,Teaching (Environmental Science),Work From Home,6 Months,"12,000 /month",20 Aug' 22
230,Sevenvector Data Solutions Private Limited,Machine Learning Engineering,Work From Home,2 Months,"10,000 /month",20 Aug' 22
231,Farishhta,Visual Design,Work From Home,3 Months,"3,500-5,000 /month",20 Aug' 22
232,EnKash,Communication And Public Relations,Delhi,3 Months,"10,000 /month",20 Aug' 22
233,Quizzy,Content Writing (English),Work From Home,3 Months,"3,000-5,000 /month",20 Aug' 22
234,Watermark Productions,Graphic Design,Bangalore,3 Months,"5,000 /month",20 Aug' 22
235,Synergy Talent Managers,Human Resources (HR),Mumbai,6 Months,"10,000 /month",20 Aug' 22
236,Urbanserp Digital Solutions,Business Development (Sales),Work From Home,3 Months,"3,000 /month +  Incentives",20 Aug' 22
237,DK Business Patron Private Limited,Business Development (Sales),Noida,3 Months,"5,000 /month +  Incentives",20 Aug' 22
238,DK Business Patron Private Limited,Human Resources (HR),Noida,3 Months,"5,000 /month",20 Aug' 22
239,Elusive Dreams By Pooja Doshi,Graphic Design,Mumbai,6 Months,"5,000-6,000 /month",20 Aug' 22
240,Grooming Web Technologies Private Limited,Content Writing,Work From Home,4 Months,"7,000 /month",20 Aug' 22
241,UniVoyage,Sales,Work From Home,3 Months,"1,000 /month +  Incentives",20 Aug' 22
242,Mathongo,Content Development (JEE Mains Math),Work From Home,1 Month,"2,500 /month",20 Aug' 22
243,Guest Blogging Technology,Content Writing,Bhopal,3 Months,"15,000-25,000 /month",20 Aug' 22
244,Writers Qi,Career Counseling,Work From Home,6 Months,"20,000 /month",20 Aug' 22
245,Farishhta,UI/UX Design,Work From Home,3 Months,"3,500-5,000 /month",20 Aug' 22
246,Flair Pens,Social Media Marketing,Mumbai,6 Months,"10,000 /month",20 Aug' 22
247,WinX Services,Digital Marketing,Work From Home,2 Weeks,"1,000-7,000 /month",20 Aug' 22
248,Dwarka Jewel,Business Development (Sales),Jaipur,3 Months,"15,000 /month",20 Aug' 22
249,SocioSift,Content Writing,Work From Home,1 Month,"2,000 /month",21 Aug' 22
250,SocioSift,Social Media Marketing,Work From Home,1 Month,"2,000 /month",21 Aug' 22
251,THE IELTS UNIVERSE,Digital Marketing,Work From Home,1 Month,"1,000 /month",21 Aug' 22
252,Serveveda,Content Writing,Work From Home,2 Months,"2,080 /month",21 Aug' 22
253,Eupheus Learning,Human Resources (HR),Delhi,2 Months,"7,000 /month",20 Aug' 22
254,Kindlife,Customer Support,Gurgaon,3 Months,"10,000 /month",21 Aug' 22
255,Kindlife,Catalog Cleaning,Gurgaon,3 Months,"10,000 /month",21 Aug' 22
256,Crowd Control Esports,Business Development (Sales),Work From Home,2 Months,"2,500 /month",21 Aug' 22
257,Cogent Codebucket,Flutter Development,Work From Home,3 Months,"20,000 lump sum",21 Aug' 22
258,Primenumbers Technologies,Python Development (Backend),Work From Home,6 Months,"20,000 /month",21 Aug' 22
259,Cogent Codebucket,Telecalling,Work From Home,6 Months,"10,000 /month",21 Aug' 22
260,Blackcoffer,News Reporting,Work From Home,2 Months,"2,000 /month",21 Aug' 22
261,PeakPals,Fashion Design,Work From Home,3 Weeks,"2,000 lump sum",20 Aug' 22
262,CITS Worldwide,Web Development,Work From Home,6 Months,"10,000 /month",21 Aug' 22
263,CITS Worldwide,Flutter Development,Work From Home,6 Months,"10,000 /month",21 Aug' 22
264,Corp Security International,Business Development (Sales),Hyderabad,4 Months,"8,000-10,000 /month",21 Aug' 22
265,Buddha Education Association Incorporation,Interior Design,Pune,2 Months,"12,000 /month",20 Aug' 22
266,Buddha Education Association Incorporation,Web Development,Work From Home,1 Month,"10,000 /month",20 Aug' 22
267,Buddha Education Association Incorporation,Content Writing,Work From Home,1 Month,"12,000 /month",20 Aug' 22
268,Buddha Education Association Incorporation,Business Development (Sales),Work From Home,1 Month,"18,000 /month",20 Aug' 22
269,Buddha Education Association Incorporation,Human Resources (HR),Work From Home,1 Month,"12,000 /month",20 Aug' 22
270,Buddha Education Association Incorporation,Mechanical Engineering,Work From Home,1 Month,"8,000 /month",20 Aug' 22
271,IoTIoT.in,Backend Development,Work From Home,2 Months,"2,000-5,000 /month",20 Aug' 22
272,Buddha Education Association Incorporation,Operations,Work From Home,1 Month,"15,000 /month",20 Aug' 22
273,Buddha Education Association Incorporation,Social Media Marketing,Work From Home,1 Month,"10,000 /month",20 Aug' 22
274,Buddha Education Association Incorporation,Mobile App Development,Work From Home,1 Month,"12,000 /month",20 Aug' 22
275,Buddha Education Association Incorporation,Blockchain Development,Work From Home,2 Months,"18,000 /month",20 Aug' 22
276,Buddha Education Association Incorporation,Marketing,Work From Home,2 Months,"18,000 /month",20 Aug' 22
277,Sab Insure,Business Development (Sales),Thane,6 Months,"2,000-10,000 /month",20 Aug' 22
278,The Bunch.ai,Digital Marketing,Hyderabad,3 Months,"3,000 /month",20 Aug' 22
279,Sambhaj,Legal Coordination,Work From Home,3 Months,Unpaid,21 Aug' 22
280,Nivis Corpserve LLP,Capital Markets,Delhi,6 Months,"8,000 /month +  Incentives",20 Aug' 22
281,Highway Delite,Business Development (Sales),Bhubaneswar,5 Months,"20,000-25,000 /month",21 Aug' 22
282,Corp Security International,Digital Marketing,Hyderabad,4 Months,"10,000 /month",20 Aug' 22
283,URBAN PRINT,Web Development,Jaipur,1 Month,"5,000 /month",20 Aug' 22
284,HEXR Factory,Unreal Development,Chennai,3 Months,"12,000 /month",21 Aug' 22
